Ref,Val,Package,PosX,PosY,Rot,Side
"B5","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.000000,-125.500000,90.000000,top
"B6","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",119.800000,-125.600000,180.000000,top
"B7","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.800000,-124.100000,180.000000,top
"B8","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",112.800000,-90.200000,90.000000,top
"B16","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",132.750000,-111.050000,90.000000,top
"B20","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",122.700000,-90.470000,0.000000,top
"C1","1500p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",123.800000,-116.600000,0.000000,top
"C2","1500p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",119.000000,-116.600000,0.000000,top
"C3","1500p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.600000,-116.600000,0.000000,top
"D2","RB751V40T1G","D_SOD-323_HandSoldering",143.040000,-113.410000,180.000000,top
"D3","RB751V40T1G","D_SOD-323_HandSoldering",143.180000,-108.450000,180.000000,top
"D4","RB751V40T1G","D_SOD-323_HandSoldering",143.000000,-103.500000,180.000000,top
"D5","RB751V40T1G","D_SOD-323_HandSoldering",143.200000,-98.800000,180.000000,top
"D7","RB751V40T1G","D_SOD-323_HandSoldering",143.000000,-94.000000,180.000000,top
"J1","Conn_02x25_Odd_Even","PinHeader_2x25_P2.54mm_Vertical",107.540000,-86.260000,90.000000,top
"J2","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",107.950000,-100.330000,0.000000,top
"J3","FAN","PinHeader_1x02_P2.54mm_Vertical",135.890000,-110.490000,0.000000,top
"J4","Conn_02x04_Odd_Even","PinHeader_2x04_P2.54mm_Vertical",149.860000,-104.140000,0.000000,top
"J5","LD09P13A4GX00LF","DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm",145.800000,-121.600000,0.000000,top
"J6","Conn_02x04_Odd_Even","PinHeader_2x04_P2.54mm_Vertical",149.860000,-93.980000,0.000000,top
"J7","Conn_01x09","PinHeader_1x09_P2.54mm_Vertical",137.020000,-116.930000,90.000000,top
"J8","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",135.890000,-95.250000,0.000000,top
"J9","142-0701-851","BNCEDGE",126.620000,-133.210000,0.000000,top
"J10","142-0701-851","BNCEDGE",112.620000,-133.210000,0.000000,top
"J12","Conn_02x01","PinHeader_1x02_P2.54mm_Vertical",130.810000,-100.330000,0.000000,top
"L1","1.8u","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.000000,-118.730000,180.000000,top
"L2","1.8u","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",116.550000,-118.770000,0.000000,top
"Q1","NUD3160LT1G","SOT23_3",131.900000,-89.800000,-90.000000,top
"Q2","SSM3J374R,LF","SOT-23",128.400000,-115.800000,180.000000,top
"Q4","BC847C-13-F","SOT-23",133.000000,-121.400000,90.000000,top
"R2","51","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",106.000000,-89.400000,180.000000,top
"R3","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.800000,-90.400000,90.000000,top
"R5","4K7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",131.700000,-115.700000,-90.000000,top
"R6","330K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.070000,-110.920000,0.000000,top
"R10","2K7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.500000,-125.100000,180.000000,top
"R19","330K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.000000,-106.000000,0.000000,top
"R20","330K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.000000,-101.000000,0.000000,top
"R21","330K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.000000,-96.600000,0.000000,top
"R26","330K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.000000,-91.800000,0.000000,top
"R36","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.730000,-92.800000,180.000000,top
"U1","Pico","RPi_Pico_SMD_TH",182.000000,-109.400000,180.000000,top
"U2","MASWSS0179TR-3000","SOT-23-6_Handsoldering",116.200000,-90.600000,-90.000000,top
"U3","MASWSS0179TR-3000","SOT-23-6_Handsoldering",119.380000,-122.400000,0.000000,top
"U4","MASWSS0179TR-3000","SOT-23-6_Handsoldering",125.200000,-121.600000,0.000000,top
"U7","74HCT541PW,118","TSSOP-20_4.4x6.5mm_P0.65mm",165.000000,-114.000000,180.000000,top
"U8","TBD62381AFWG,EL","SOIC-18W_7.5x11.6mm_P1.27mm",161.080000,-101.480000,180.000000,top
